date,loc,latitude,longitude,res,unit
2009-06-15,FMYN_WQX-VR1,33.71378,111.652,8.29,None
2009-09-17,FMYN_WQX-VR1,33.71378,111.652,8.14,None
2009-07-29,FMYN_WQX-VR1,33.71378,111.652,8.15,None
2009-07-29,FMYN_WQX-VR1,33.71378,111.652,7.93,None
2009-06-15,FMYN_WQX-VR1,33.71378,111.652,7.82,None
2009-09-17,FMYN_WQX-VR1,33.71378,111.652,8.15,None
2009-08-18,FMYN_WQX-VR1,33.71378,111.652,8.1,None
2009-08-18,FMYN_WQX-VR1,33.71378,111.652,8.02,None
2010-10-28,FMYN_WQX-VR1,33.71378,111.652,7.94,None
2010-09-30,FMYN_WQX-VR1,33.71378,111.652,8.25,None
2010-11-18,FMYN_WQX-VR1,33.71378,111.652,6.29,None
2011-09-15,FMYN_WQX-VR1,33.71378,111.652,7.86,None
2011-02-17,FMYN_WQX-VR1,33.71378,111.652,8.29,None
2012-06-14,FMYN_WQX-VR1,33.71378,111.652,8.16,None
2012-06-14,FMYN_WQX-VR1,33.71378,111.652,8.16,None
2013-08-14,FMYN_WQX-VR1,33.71378,111.652,7.81,None
2013-05-09,FMYN_WQX-VR1,33.71378,111.652,6.7,None
2013-09-25,FMYN_WQX-VR1,33.71378,111.652,7.96,None
2013-01-29,FMYN_WQX-VR1,33.71378,111.652,6.69,None
2014-03-13,FMYN_WQX-VR1,33.71378,111.652,7.77,None
2014-06-05,FMYN_WQX-VR1,33.71378,111.652,8.25,None
2014-06-05,FMYN_WQX-VR1,33.71378,111.652,8.25,None
2014-08-14,FMYN_WQX-VR1,33.71378,111.652,7.8,None
2014-10-01,FMYN_WQX-VR1,33.71378,111.652,8.08,None
2015-09-02,FMYN_WQX-VR1,33.71378,111.652,8.05,None
2015-06-18,FMYN_WQX-VR1,33.71378,111.652,7.73,None
2015-09-02,FMYN_WQX-VR1,33.71378,111.652,8.05,None
2015-01-29,FMYN_WQX-VR1,33.71378,111.652,8.73,None
2015-04-09,FMYN_WQX-VR1,33.71378,111.652,7.15,None
2016-09-14,FMYN_WQX-VR1,33.71378,111.652,7.31,None
2016-12-01,FMYN_WQX-VR1,33.71378,111.652,6.96,None
2016-06-14,FMYN_WQX-VR1,33.71378,111.652,7.38,None
2016-02-09,FMYN_WQX-VR1,33.71378,111.652,7.39,None
2016-04-12,FMYN_WQX-VR1,33.71378,111.652,7.47,None
2017-12-11,FMYN_WQX-VR1,33.71378,111.652,7.16,None
2017-07-19,FMYN_WQX-VR1,33.71378,111.652,7.04,None
2017-09-12,FMYN_WQX-VR1,33.71378,111.652,7.21,None
2017-04-06,FMYN_WQX-VR1,33.71378,111.652,7.17,None
2018-09-20,FMYN_WQX-VR1,33.71378,111.652,7.61,None
2018-08-22,FMYN_WQX-VR1,33.71378,111.652,7.55,None
2018-04-19,FMYN_WQX-VR1,33.71378,111.652,7.63,None
2018-08-22,FMYN_WQX-VR1,33.71378,111.652,7.55,None
2019-07-24,FMYN_WQX-VR1,33.71378,111.652,7.54,None
2019-02-13,FMYN_WQX-VR1,33.71378,111.652,7.31,None
2019-09-19,FMYN_WQX-VR1,33.71378,111.652,7.11,None
2019-03-28,FMYN_WQX-VR1,33.71378,111.652,7.3,None
2020-07-29,FMYN_WQX-VR1,33.71378,111.652,7.84,None
2020-01-15,FMYN_WQX-VR1,33.71378,111.652,7.24,None
2020-04-30,FMYN_WQX-VR1,33.71378,111.652,7.47,None
2009-06-17,FMYN_WQX-VR5,33.62367,111.6686,8.36,None
2009-07-29,FMYN_WQX-VR5,33.62367,111.6686,8.46,None
2009-08-19,FMYN_WQX-VR5,33.62367,111.6686,8.18,None
2009-08-19,FMYN_WQX-VR5,33.62367,111.6686,8.17,None
2009-06-17,FMYN_WQX-VR5,33.62367,111.6686,8.22,None
2009-09-16,FMYN_WQX-VR5,33.62367,111.6686,8.27,None
2009-10-29,FMYN_WQX-VR5,33.62367,111.6686,8.05,None
2009-10-29,FMYN_WQX-VR5,33.62367,111.6686,8.01,None
2009-09-16,FMYN_WQX-VR5,33.62367,111.6686,7.71,None
2009-07-29,FMYN_WQX-VR5,33.62367,111.6686,8.41,None
2009-09-16,FMYN_WQX-VR5,33.62367,111.6686,7.71,None
2009-09-16,FMYN_WQX-VR5,33.62367,111.6686,8.94,None
2010-09-30,FMYN_WQX-VR5,33.62367,111.6686,8.41,None
2010-11-18,FMYN_WQX-VR5,33.62367,111.6686,7.86,None
2010-09-30,FMYN_WQX-VR5,33.62367,111.6686,8.41,None
2010-10-28,FMYN_WQX-VR5,33.62367,111.6686,9.31,None
2011-09-15,FMYN_WQX-VR5,33.62367,111.6686,7.99,None
2011-02-17,FMYN_WQX-VR5,33.62367,111.6686,8.61,None
2012-06-14,FMYN_WQX-VR5,33.62367,111.6686,8.05,None
2013-01-29,FMYN_WQX-VR5,33.62367,111.6686,6.79,None
2013-09-25,FMYN_WQX-VR5,33.62367,111.6686,7.88,None
2013-08-14,FMYN_WQX-VR5,33.62367,111.6686,7.99,None
2013-05-09,FMYN_WQX-VR5,33.62367,111.6686,6.62,None
2013-05-09,FMYN_WQX-VR5,33.62367,111.6686,6.62,None
2014-06-05,FMYN_WQX-VR5,33.62367,111.6686,8.12,None
2014-03-13,FMYN_WQX-VR5,33.62367,111.6686,8.09,None
2014-08-14,FMYN_WQX-VR5,33.62367,111.6686,8.41,None
2014-10-01,FMYN_WQX-VR5,33.62367,111.6686,8.22,None
2015-09-02,FMYN_WQX-VR5,33.62367,111.6686,8.16,None
2015-01-29,FMYN_WQX-VR5,33.62367,111.6686,8.69,None
2015-04-09,FMYN_WQX-VR5,33.62367,111.6686,7.49,None
2015-06-18,FMYN_WQX-VR5,33.62367,111.6686,7.55,None
2016-06-14,FMYN_WQX-VR5,33.62367,111.6686,7.31,None
2016-04-12,FMYN_WQX-VR5,33.62367,111.6686,7.56,None
2016-09-14,FMYN_WQX-VR5,33.62367,111.6686,8.12,None
2016-12-01,FMYN_WQX-VR5,33.62367,111.6686,6.81,None
2016-02-09,FMYN_WQX-VR5,33.62367,111.6686,7.69,None
2017-04-06,FMYN_WQX-VR5,33.62367,111.6686,7.04,None
2017-09-12,FMYN_WQX-VR5,33.62367,111.6686,6.97,None
2017-09-12,FMYN_WQX-VR5,33.62367,111.6686,6.97,None
2017-07-19,FMYN_WQX-VR5,33.62367,111.6686,6.99,None
2017-12-11,FMYN_WQX-VR5,33.62367,111.6686,7.06,None
2018-09-20,FMYN_WQX-VR5,33.62367,111.6686,7.4,None
2018-04-19,FMYN_WQX-VR5,33.62367,111.6686,7.71,None
2018-08-22,FMYN_WQX-VR5,33.62367,111.6686,7.42,None
2019-02-13,FMYN_WQX-VR5,33.62367,111.6686,7.51,None
2019-03-28,FMYN_WQX-VR5,33.62367,111.6686,7.42,None
2019-09-19,FMYN_WQX-VR5,33.62367,111.6686,7.65,None
2019-07-24,FMYN_WQX-VR5,33.62367,111.6686,7.48,None
2019-02-13,FMYN_WQX-VR5,33.62367,111.6686,7.51,None
2020-04-30,FMYN_WQX-VR5,33.62367,111.6686,7.38,None
2020-07-29,FMYN_WQX-VR5,33.62367,111.6686,7.46,None
2020-01-15,FMYN_WQX-VR5,33.62367,111.6686,7.38,None
2009-07-28,FMYN_WQX-VR7,33.60681,111.6791,8.41,None
2009-07-28,FMYN_WQX-VR7,33.60681,111.6791,8.49,None
2009-07-28,FMYN_WQX-VR7,33.60681,111.6791,8.41,None
2009-08-19,FMYN_WQX-VR7,33.60681,111.6791,8.39,None
2009-06-18,FMYN_WQX-VR7,33.60681,111.6791,8.36,None
2009-08-19,FMYN_WQX-VR7,33.60681,111.6791,8.34,None
2009-09-16,FMYN_WQX-VR7,33.60681,111.6791,8.47,None
2009-07-28,FMYN_WQX-VR7,33.60681,111.6791,8.45,None
2009-09-16,FMYN_WQX-VR7,33.60681,111.6791,8.43,None
2009-06-18,FMYN_WQX-VR7,33.60681,111.6791,8.37,None
2010-11-18,FMYN_WQX-VR7,33.60681,111.6791,8.84,None
2010-10-27,FMYN_WQX-VR7,33.60681,111.6791,8.97,None
2010-09-23,FMYN_WQX-VR7,33.60681,111.6791,8.41,None
2011-02-24,FMYN_WQX-VR7,33.60681,111.6791,8.55,None
2011-02-24,FMYN_WQX-VR7,33.60681,111.6791,8.55,None
2012-06-21,FMYN_WQX-VR7,33.60681,111.6791,7.75,None
2013-05-09,FMYN_WQX-VR7,33.60681,111.6791,7.86,None
2013-01-31,FMYN_WQX-VR7,33.60681,111.6791,8.0,None
2013-08-22,FMYN_WQX-VR7,33.60681,111.6791,8.03,None
2013-09-25,FMYN_WQX-VR7,33.60681,111.6791,7.79,None
2014-06-11,FMYN_WQX-VR7,33.60681,111.6791,8.36,None
2014-08-21,FMYN_WQX-VR7,33.60681,111.6791,7.91,None
2014-03-20,FMYN_WQX-VR7,33.60681,111.6791,7.81,None
2014-10-02,FMYN_WQX-VR7,33.60681,111.6791,8.25,None
2015-09-02,FMYN_WQX-VR7,33.60681,111.6791,7.39,None
2015-01-29,FMYN_WQX-VR7,33.60681,111.6791,7.15,None
2015-04-09,FMYN_WQX-VR7,33.60681,111.6791,8.26,None
2015-06-18,FMYN_WQX-VR7,33.60681,111.6791,8.28,None
2016-02-09,FMYN_WQX-VR7,33.60681,111.6791,7.64,None
2016-12-01,FMYN_WQX-VR7,33.60681,111.6791,6.91,None
2016-09-14,FMYN_WQX-VR7,33.60681,111.6791,7.5,None
2016-04-13,FMYN_WQX-VR7,33.60681,111.6791,7.38,None
2016-06-15,FMYN_WQX-VR7,33.60681,111.6791,7.51,None
2016-02-09,FMYN_WQX-VR7,33.60681,111.6791,7.64,None
2017-07-19,FMYN_WQX-VR7,33.60681,111.6791,7.03,None
2017-09-19,FMYN_WQX-VR7,33.60681,111.6791,7.2,None
2017-04-06,FMYN_WQX-VR7,33.60681,111.6791,7.1,None
2017-12-11,FMYN_WQX-VR7,33.60681,111.6791,7.24,None
2018-09-20,FMYN_WQX-VR7,33.60681,111.6791,7.18,None
2018-08-23,FMYN_WQX-VR7,33.60681,111.6791,7.42,None
2018-04-23,FMYN_WQX-VR7,33.60681,111.6791,7.48,None
2019-02-13,FMYN_WQX-VR7,33.60681,111.6791,7.35,None
2019-09-19,FMYN_WQX-VR7,33.60681,111.6791,7.13,None
2019-03-28,FMYN_WQX-VR7,33.60681,111.6791,5.51,None
2019-07-25,FMYN_WQX-VR7,33.60681,111.6791,7.64,None
2020-07-30,FMYN_WQX-VR7,33.60681,111.6791,8.25,None
2020-01-15,FMYN_WQX-VR7,33.60681,111.6791,7.08,None
2020-05-05,FMYN_WQX-VR7,33.60681,111.6791,7.67,None
2020-07-30,FMYN_WQX-VR7,33.60681,111.6791,8.25,None
2009-06-16,FMYN_WQX-VR9,33.571,111.6691,8.42,None
2009-06-16,FMYN_WQX-VR9,33.571,111.6691,8.71,None
2009-07-28,FMYN_WQX-VR9,33.571,111.6691,8.34,None
2009-08-18,FMYN_WQX-VR9,33.571,111.6691,8.43,None
2009-08-18,FMYN_WQX-VR9,33.571,111.6691,8.47,None
2009-07-28,FMYN_WQX-VR9,33.571,111.6691,8.18,None
2009-09-17,FMYN_WQX-VR9,33.571,111.6691,8.52,None
2009-09-17,FMYN_WQX-VR9,33.571,111.6691,8.51,None
2010-10-27,FMYN_WQX-VR9,33.571,111.6691,8.53,None
2010-11-18,FMYN_WQX-VR9,33.571,111.6691,8.79,None
2010-10-27,FMYN_WQX-VR9,33.571,111.6691,8.53,None
2010-09-23,FMYN_WQX-VR9,33.571,111.6691,8.39,None
2011-02-24,FMYN_WQX-VR9,33.571,111.6691,8.46,None
2011-09-15,FMYN_WQX-VR9,33.571,111.6691,7.51,None
2012-06-21,FMYN_WQX-VR9,33.571,111.6691,7.31,None
2013-09-25,FMYN_WQX-VR9,33.571,111.6691,8.35,None
2013-05-09,FMYN_WQX-VR9,33.571,111.6691,6.75,None
2013-01-31,FMYN_WQX-VR9,33.571,111.6691,7.9,None
2013-08-22,FMYN_WQX-VR9,33.571,111.6691,8.24,None
2014-08-21,FMYN_WQX-VR9,33.571,111.6691,8.07,None
2014-03-20,FMYN_WQX-VR9,33.571,111.6691,8.11,None
2014-10-02,FMYN_WQX-VR9,33.571,111.6691,8.14,None
2014-06-11,FMYN_WQX-VR9,33.571,111.6691,8.29,None
2015-04-09,FMYN_WQX-VR9,33.571,111.6691,7.69,None
2015-06-25,FMYN_WQX-VR9,33.571,111.6691,7.38,None
2015-01-29,FMYN_WQX-VR9,33.571,111.6691,8.64,None
2015-09-02,FMYN_WQX-VR9,33.571,111.6691,8.72,None
2016-12-01,FMYN_WQX-VR9,33.571,111.6691,6.63,None
2016-09-14,FMYN_WQX-VR9,33.571,111.6691,8.17,None
2016-04-13,FMYN_WQX-VR9,33.571,111.6691,7.86,None
2016-06-15,FMYN_WQX-VR9,33.571,111.6691,7.49,None
2016-02-09,FMYN_WQX-VR9,33.571,111.6691,7.49,None
2017-07-19,FMYN_WQX-VR9,33.571,111.6691,7.12,None
2017-04-06,FMYN_WQX-VR9,33.571,111.6691,7.11,None
2017-12-11,FMYN_WQX-VR9,33.571,111.6691,7.03,None
2017-09-19,FMYN_WQX-VR9,33.571,111.6691,7.2,None
2018-08-23,FMYN_WQX-VR9,33.571,111.6691,7.39,None
2018-09-20,FMYN_WQX-VR9,33.571,111.6691,7.43,None
2018-04-19,FMYN_WQX-VR9,33.571,111.6691,7.59,None
2019-03-28,FMYN_WQX-VR9,33.571,111.6691,7.48,None
2019-02-13,FMYN_WQX-VR9,33.571,111.6691,7.36,None
2019-07-24,FMYN_WQX-VR9,33.571,111.6691,5.54,None
2019-09-24,FMYN_WQX-VR9,33.571,111.6691,7.69,None
2020-05-05,FMYN_WQX-VR9,33.571,111.6691,7.71,None
2020-07-30,FMYN_WQX-VR9,33.571,111.6691,7.8,None
2020-01-15,FMYN_WQX-VR9,33.571,111.6691,7.88,None
2010-04-07,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.9,None
2010-04-06,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.91,None
2010-06-21,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,8.03,None
2010-08-31,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.17,None
2010-06-30,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.42,None
2010-09-21,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.17,None
2010-08-18,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,8.0,None
2010-07-20,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.03,None
2010-12-17,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.93,None
2010-11-02,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.21,None
2010-12-28,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,6.96,None
2010-03-23,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.56,None
2010-04-21,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.5,None
2010-11-16,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.43,None
2010-07-06,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.2,None
2010-03-30,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.54,None
2010-03-16,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.59,None
2010-04-27,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.6,None
2010-08-03,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,6.8,None
2010-04-13,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.63,None
2010-05-04,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.68,None
2010-06-01,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.55,None
2010-07-13,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.33,None
2010-06-08,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.45,None
2011-11-01,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.75,None
2011-02-07,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.47,None
2011-06-28,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.63,None
2011-07-26,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.71,None
2011-02-15,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.33,None
2011-12-27,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.81,None
2011-09-27,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.64,None
2011-12-06,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.51,None
2011-12-20,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.64,None
2011-06-15,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.6,None
2011-04-12,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.22,None
2011-04-19,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.13,None
2011-05-03,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.61,None
2011-07-12,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.65,None
2011-11-22,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.69,None
2011-03-15,COCOPAH_INDIAN-CUP 30,32.7371,-114.6817,7.24,None
