date,loc,latitude,longitude,res
2010,SRPMIC-VR-1,33.557667,-111.667983,1.8
2011,SRPMIC-VR-1,33.557667,-111.667983,1.9
2013,SRPMIC-VR-1,33.557667,-111.667983,0.0
2014,SRPMIC-VR-1,33.557667,-111.667983,5.0
2016,SRPMIC-VR-1,33.557667,-111.667983,1.1
2017,SRPMIC-VR-1,33.557667,-111.667983,1.2
2018,SRPMIC-VR-1,33.557667,-111.667983,1.2
2019,SRPMIC-VR-1,33.557667,-111.667983,14.0
2020,SRPMIC-VR-1,33.557667,-111.667983,2.2
2021,SRPMIC-VR-1,33.557667,-111.667983,0.83
2010,SRPMIC-VR-2,33.566806,-111.666583,1.5
2011,SRPMIC-VR-2,33.566806,-111.666583,1.1
2013,SRPMIC-VR-2,33.566806,-111.666583,0.0
2014,SRPMIC-VR-2,33.566806,-111.666583,4.3
2016,SRPMIC-VR-2,33.566806,-111.666583,0.76
2018,SRPMIC-VR-2,33.566806,-111.666583,0.95
2019,SRPMIC-VR-2,33.566806,-111.666583,3.5
2020,SRPMIC-VR-2,33.566806,-111.666583,1.2
2021,SRPMIC-VR-2,33.566806,-111.666583,0.68
2010,SRPMIC-SR-1,33.546683,-111.660333,2.9
2011,SRPMIC-SR-1,33.546683,-111.660333,2.4
2013,SRPMIC-SR-1,33.546683,-111.660333,4.3
2014,SRPMIC-SR-1,33.546683,-111.660333,5.8999999999999995
2016,SRPMIC-SR-1,33.546683,-111.660333,0.83
2018,SRPMIC-SR-1,33.546683,-111.660333,1.0
2019,SRPMIC-SR-1,33.546683,-111.660333,99.0
2020,SRPMIC-SR-1,33.546683,-111.660333,0.0
2021,SRPMIC-SR-1,33.546683,-111.660333,1.6
2010,SRPMIC-SR-2,33.5389,-111.671917,2.4
2013,SRPMIC-SR-2,33.5389,-111.671917,0.0
2014,SRPMIC-SR-2,33.5389,-111.671917,4.0
2016,SRPMIC-SR-2,33.5389,-111.671917,0.78
2018,SRPMIC-SR-2,33.5389,-111.671917,1.5
2019,SRPMIC-SR-2,33.5389,-111.671917,3.5
2020,SRPMIC-SR-2,33.5389,-111.671917,0.0
2021,SRPMIC-SR-2,33.5389,-111.671917,1.7
2005,21ARIZ_WQX-SRPNT027.51,33.3563056,-110.9488364,990.0
2007,21ARIZ_WQX-SRPNT027.51,33.3563056,-110.9488364,2000.0
2008,21ARIZ_WQX-SRPNT027.51,33.3563056,-110.9488364,320.0
2014,21ARIZ_WQX-SRPNT027.51,33.3563056,-110.9488364,11000.0
2015,21ARIZ_WQX-SRPNT027.51,33.3563056,-110.9488364,536.0
2016,21ARIZ_WQX-SRPNT027.51,33.3563056,-110.9488364,1780.0
1997,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
1998,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
1999,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2000,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2001,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2002,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2003,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2004,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2005,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2006,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2007,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.54
2008,UTAHDWQ_WQX-5952430,36.95498,-111.48376,2.04
2009,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.28
2010,UTAHDWQ_WQX-5952430,36.95498,-111.48376,2.47
2011,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.43
2012,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.23
2013,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.95
2014,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.184
2017,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.54
2018,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.61
2019,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.87
2021,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.84
1978,UTAHDWQ_WQX-4952000,36.93666,-111.48404,5.0
1979,UTAHDWQ_WQX-4952000,36.93666,-111.48404,5.0
1980,UTAHDWQ_WQX-4952000,36.93666,-111.48404,15.0
1981,UTAHDWQ_WQX-4952000,36.93666,-111.48404,15.0
1982,UTAHDWQ_WQX-4952000,36.93666,-111.48404,0.0
