date,loc,latitude,longitude,res
1997,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
1998,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
1999,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2000,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2001,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2002,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2003,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2004,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2005,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2006,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.0
2007,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.93
2008,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.43
2009,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.9866666666666667
2010,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.9366666666666668
2011,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.9981818181818182
2012,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.0142857142857142
2013,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.675
2014,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.592
2017,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.1375
2018,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.0326
2019,UTAHDWQ_WQX-5952430,36.95498,-111.48376,1.22625
2021,UTAHDWQ_WQX-5952430,36.95498,-111.48376,0.84
1993,AZDEQ_SW-1157,34.2977778,-114.1388889,14.0
1994,AZDEQ_SW-1157,34.2977778,-114.1388889,14.0
1995,AZDEQ_SW-1157,34.2977778,-114.1388889,13.0
1997,AZDEQ_SW-1157,34.2977778,-114.1388889,22.5
2016,AZDEQ_SW-1157,34.2977778,-114.1388889,0.7733333333333333
2017,AZDEQ_SW-1157,34.2977778,-114.1388889,0.852857142857143
2018,AZDEQ_SW-1157,34.2977778,-114.1388889,1.0914285714285714
2019,AZDEQ_SW-1157,34.2977778,-114.1388889,1.3800000000000001
2002,AZDEQ_SW-666,34.5952778,-112.4166389,46900.0
2009,AZDEQ_SW-666,34.5952778,-112.4166389,10.0
2011,AZDEQ_SW-666,34.5952778,-112.4166389,3.38
2016,AZDEQ_SW-666,34.5952778,-112.4166389,1.1
2017,AZDEQ_SW-666,34.5952778,-112.4166389,2.32
2003,AZDEQ_SW-28,35.1983333,-114.5686111,7800.0
2016,AZDEQ_SW-28,35.1983333,-114.5686111,0.7
2017,AZDEQ_SW-28,35.1983333,-114.5686111,0.9
2019,AZDEQ_SW-28,35.1983333,-114.5686111,0.65
2020,AZDEQ_SW-28,35.1983333,-114.5686111,9.65
1997,AZDEQ_SW-69,35.1175,-112.0133333,14.666666666666666
2000,AZDEQ_SW-69,35.1175,-112.0133333,11.0
2001,AZDEQ_SW-69,35.1175,-112.0133333,12.5
2018,AZDEQ_SW-69,35.1175,-112.0133333,4.0
2019,AZDEQ_SW-69,35.1175,-112.0133333,1.405
