date,loc,latitude,longitude,res
1995,UTAHDWQ_WQX-5952430,36.95498,-111.48376,8.3
1996,UTAHDWQ_WQX-5952430,36.95498,-111.48376,8.05
1997,UTAHDWQ_WQX-5952430,36.95498,-111.48376,8.48
1998,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.766666666666667
1999,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.8342857142857145
2000,UTAHDWQ_WQX-5952430,36.95498,-111.48376,8.074166666666667
2001,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.925
2002,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.957333333333334
2003,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.991666666666666
2004,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.757142857142857
2005,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.586666666666667
2006,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.78
2007,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.7555555555555555
2008,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.5
2009,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.881595731491738
2010,UTAHDWQ_WQX-5952430,36.95498,-111.48376,8.020612214533832
2011,UTAHDWQ_WQX-5952430,36.95498,-111.48376,8.019078812691914
2012,UTAHDWQ_WQX-5952430,36.95498,-111.48376,8.016395563770795
2015,UTAHDWQ_WQX-5952430,36.95498,-111.48376,8.41919368855652
2016,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.986830115830116
2017,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.9936412213740455
2018,UTAHDWQ_WQX-5952430,36.95498,-111.48376,8.06
2019,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.947965153970826
2021,UTAHDWQ_WQX-5952430,36.95498,-111.48376,7.933114035087719
1996,AZDEQ_SW-56,33.6655556,-111.0519444,7.842380952380952
2000,AZDEQ_SW-56,33.6655556,-111.0519444,8.375
2001,AZDEQ_SW-56,33.6655556,-111.0519444,8.676666666666666
2002,AZDEQ_SW-56,33.6655556,-111.0519444,7.78
2003,AZDEQ_SW-56,33.6655556,-111.0519444,8.152222222222223
2004,AZDEQ_SW-56,33.6655556,-111.0519444,8.238518518518518
2005,AZDEQ_SW-56,33.6655556,-111.0519444,7.685
2006,AZDEQ_SW-56,33.6655556,-111.0519444,8.007692307692308
2007,AZDEQ_SW-56,33.6655556,-111.0519444,8.175
2008,AZDEQ_SW-56,33.6655556,-111.0519444,8.136442307692308
2009,AZDEQ_SW-56,33.6655556,-111.0519444,8.117666666666667
2011,AZDEQ_SW-56,33.6655556,-111.0519444,8.123888888888889
2012,AZDEQ_SW-56,33.6655556,-111.0519444,8.100714285714286
2015,AZDEQ_SW-56,33.6655556,-111.0519444,8.014814814814814
2016,AZDEQ_SW-56,33.6655556,-111.0519444,8.266666666666667
1992,AZDEQ_SW-73,34.4574111,-114.3860694,8.634
1993,AZDEQ_SW-73,34.4574111,-114.3860694,8.3475
1994,AZDEQ_SW-73,34.4574111,-114.3860694,8.373888888888889
1995,AZDEQ_SW-73,34.4574111,-114.3860694,8.147222222222222
1996,AZDEQ_SW-73,34.4574111,-114.3860694,8.040000000000001
1997,AZDEQ_SW-73,34.4574111,-114.3860694,7.857333333333333
1998,AZDEQ_SW-73,34.4574111,-114.3860694,8.096875
2001,AZDEQ_SW-73,34.4574111,-114.3860694,8.185882352941176
2002,AZDEQ_SW-73,34.4574111,-114.3860694,7.68
2003,AZDEQ_SW-73,34.4574111,-114.3860694,8.098333333333334
2007,AZDEQ_SW-73,34.4574111,-114.3860694,8.4
2008,AZDEQ_SW-73,34.4574111,-114.3860694,8.332173913043478
2009,AZDEQ_SW-73,34.4574111,-114.3860694,8.077692307692308
2013,AZDEQ_SW-73,34.4574111,-114.3860694,8.4125
2014,AZDEQ_SW-73,34.4574111,-114.3860694,8.298181818181819
2015,AZDEQ_SW-73,34.4574111,-114.3860694,8.076944444444445
2016,AZDEQ_SW-73,34.4574111,-114.3860694,8.311489361702128
2017,AZDEQ_SW-73,34.4574111,-114.3860694,8.372058823529413
1999,AZDEQ_SW-523,33.5913889,-111.3425,7.976315789473684
2000,AZDEQ_SW-523,33.5913889,-111.3425,7.547777777777778
2001,AZDEQ_SW-523,33.5913889,-111.3425,8.332666666666666
2003,AZDEQ_SW-523,33.5913889,-111.3425,8.53715909090909
2004,AZDEQ_SW-523,33.5913889,-111.3425,7.78496062992126
2005,AZDEQ_SW-523,33.5913889,-111.3425,8.1125
2006,AZDEQ_SW-523,33.5913889,-111.3425,7.89
2007,AZDEQ_SW-523,33.5913889,-111.3425,8.132
2008,AZDEQ_SW-523,33.5913889,-111.3425,8.343571428571428
2009,AZDEQ_SW-523,33.5913889,-111.3425,8.154255319148936
2010,AZDEQ_SW-523,33.5913889,-111.3425,8.44
2011,AZDEQ_SW-523,33.5913889,-111.3425,8.55
2012,AZDEQ_SW-523,33.5913889,-111.3425,7.84
2015,AZDEQ_SW-523,33.5913889,-111.3425,7.883863636363636
2016,AZDEQ_SW-523,33.5913889,-111.3425,8.112608695652174
1992,AZDEQ_SW-1157,34.2977778,-114.1388889,8.48857142857143
1993,AZDEQ_SW-1157,34.2977778,-114.1388889,8.041666666666666
1994,AZDEQ_SW-1157,34.2977778,-114.1388889,8.257391304347825
1995,AZDEQ_SW-1157,34.2977778,-114.1388889,8.072808988764045
1996,AZDEQ_SW-1157,34.2977778,-114.1388889,7.99063492063492
1997,AZDEQ_SW-1157,34.2977778,-114.1388889,7.831304347826087
1998,AZDEQ_SW-1157,34.2977778,-114.1388889,8.137727272727274
2000,AZDEQ_SW-1157,34.2977778,-114.1388889,8.361
2001,AZDEQ_SW-1157,34.2977778,-114.1388889,8.215384615384615
2002,AZDEQ_SW-1157,34.2977778,-114.1388889,8.15
2003,AZDEQ_SW-1157,34.2977778,-114.1388889,8.196666666666667
2004,AZDEQ_SW-1157,34.2977778,-114.1388889,8.290000000000001
2006,AZDEQ_SW-1157,34.2977778,-114.1388889,8.222222222222223
2007,AZDEQ_SW-1157,34.2977778,-114.1388889,7.9799999999999995
2008,AZDEQ_SW-1157,34.2977778,-114.1388889,8.277931034482759
2009,AZDEQ_SW-1157,34.2977778,-114.1388889,8.016666666666667
2013,AZDEQ_SW-1157,34.2977778,-114.1388889,8.393
2014,AZDEQ_SW-1157,34.2977778,-114.1388889,8.292307692307693
2015,AZDEQ_SW-1157,34.2977778,-114.1388889,8.03171875
2016,AZDEQ_SW-1157,34.2977778,-114.1388889,8.285416666666666
2017,AZDEQ_SW-1157,34.2977778,-114.1388889,8.287377049180328
2018,AZDEQ_SW-1157,34.2977778,-114.1388889,8.234590163934426
2019,AZDEQ_SW-1157,34.2977778,-114.1388889,8.28304347826087
1992,AZDEQ_SW-44,31.4086111,-111.0852778,7.1606250000000005
1994,AZDEQ_SW-44,31.4086111,-111.0852778,7.850714285714286
1995,AZDEQ_SW-44,31.4086111,-111.0852778,8.93
1997,AZDEQ_SW-44,31.4086111,-111.0852778,7.139
1998,AZDEQ_SW-44,31.4086111,-111.0852778,6.8730769230769235
2000,AZDEQ_SW-44,31.4086111,-111.0852778,7.31625
2001,AZDEQ_SW-44,31.4086111,-111.0852778,7.278043478260869
2003,AZDEQ_SW-44,31.4086111,-111.0852778,6.891304347826087
2004,AZDEQ_SW-44,31.4086111,-111.0852778,7.032380952380953
2005,AZDEQ_SW-44,31.4086111,-111.0852778,9.776363636363637
2008,AZDEQ_SW-44,31.4086111,-111.0852778,6.931
2011,AZDEQ_SW-44,31.4086111,-111.0852778,8.24
2012,AZDEQ_SW-44,31.4086111,-111.0852778,7.350333333333333
2013,AZDEQ_SW-44,31.4086111,-111.0852778,7.270625
2014,AZDEQ_SW-44,31.4086111,-111.0852778,7.605714285714286
1995,AZDEQ_SW-34,33.8288889,-109.0831111,9.227857142857143
