date,Mine ID,type,hrs
3/31/2021,200137,3,257440
3/31/2021,200137,30,173377
3/31/2021,200137,99,58748
6/30/2021,200137,3,263701
6/30/2021,200137,30,173337
6/30/2021,200137,99,59596
9/30/2021,200137,3,281461
9/30/2021,200137,30,181915
9/30/2021,200137,99,63188
12/31/2021,200137,3,269090
12/31/2021,200137,30,167852
12/31/2021,200137,99,59583
3/31/2020,200137,3,296713
3/31/2020,200137,30,184107
3/31/2020,200137,99,65566
6/30/2020,200137,3,211971
6/30/2020,200137,30,169673
6/30/2020,200137,99,52042
9/30/2020,200137,3,260844
9/30/2020,200137,30,179040
9/30/2020,200137,99,59984
12/31/2020,200137,3,283357
12/31/2020,200137,30,183046
12/31/2020,200137,99,55968
3/31/2019,200137,3,203540
3/31/2019,200137,30,207698
3/31/2019,200137,99,89816
6/30/2019,200137,3,295907
6/30/2019,200137,30,169777
6/30/2019,200137,99,63502
9/30/2019,200137,3,309734
9/30/2019,200137,30,178875
9/30/2019,200137,99,66628
12/31/2019,200137,3,299304
12/31/2019,200137,30,167511
12/31/2019,200137,99,63657
3/31/2018,200137,3,394634
3/31/2018,200137,30,131179
3/31/2018,200137,99,71702
6/30/2018,200137,3,422646
6/30/2018,200137,30,131179
6/30/2018,200137,99,75522
9/30/2018,200137,3,448965
9/30/2018,200137,30,133126
9/30/2018,200137,99,79376
12/31/2018,200137,3,440216
12/31/2018,200137,30,132436
12/31/2018,200137,99,78089
3/31/2017,200137,3,270404
3/31/2017,200137,30,82414
3/31/2017,200137,99,4811
6/30/2017,200137,3,292992
6/30/2017,200137,30,119814
6/30/2017,200137,99,56292
9/30/2017,200137,3,323441
9/30/2017,200137,30,118886
9/30/2017,200137,99,60317
12/31/2017,200137,3,253894
12/31/2017,200137,30,127698
12/31/2017,200137,99,52035
3/31/2016,200137,3,226519
3/31/2016,200137,30,105715
3/31/2016,200137,99,45305
6/30/2016,200137,3,227952
6/30/2016,200137,30,111544
6/30/2016,200137,99,46295
9/30/2016,200137,3,230358
9/30/2016,200137,30,120844
9/30/2016,200137,99,47892
12/31/2016,200137,3,220418
12/31/2016,200137,30,110544
12/31/2016,200137,99,45131
3/31/2015,200137,3,273181
3/31/2015,200137,30,121228
3/31/2015,200137,99,53783
6/30/2015,200137,3,286291
6/30/2015,200137,30,125366
6/30/2015,200137,99,56135
9/30/2015,200137,3,278778
9/30/2015,200137,30,125204
9/30/2015,200137,99,55088
12/31/2015,200137,3,243959
12/31/2015,200137,30,112913
12/31/2015,200137,99,48654
3/31/2014,200137,3,277774
3/31/2014,200137,30,115892
3/31/2014,200137,99,53681
6/30/2014,200137,3,280708
6/30/2014,200137,30,118917
6/30/2014,200137,99,54494
9/30/2014,200137,3,278778
9/30/2014,200137,30,125204
9/30/2014,200137,99,55088
12/31/2014,200137,3,274118
12/31/2014,200137,30,123488
12/31/2014,200137,99,54219
3/31/2013,200137,3,270574
3/31/2013,200137,30,142765
3/31/2013,200137,99,54668
6/30/2013,200137,3,282651
6/30/2013,200137,30,137948
6/30/2013,200137,99,57354
9/30/2013,200137,3,276213
9/30/2013,200137,30,126485
9/30/2013,200137,99,54913
12/31/2013,200137,3,276918
12/31/2013,200137,30,115634
12/31/2013,200137,99,53529
3/31/2012,200137,3,270064
3/31/2012,200137,30,141156
3/31/2012,200137,99,54437
6/30/2012,200137,3,285897
6/30/2012,200137,30,156313
6/30/2012,200137,99,52396
9/30/2012,200137,3,285217
9/30/2012,200137,30,143408
9/30/2012,200137,99,56592
12/31/2012,200137,3,280808
12/31/2012,200137,30,134011
12/31/2012,200137,99,55471
3/31/2011,200137,3,243009
3/31/2011,200137,30,129806
3/31/2011,200137,99,50839
6/30/2011,200137,3,255576
6/30/2011,200137,30,128088
