date,mining,plant,office
12/31/2021,861339,774680,151384
9/30/2021,884060,794960,157896
6/30/2021,861811,760023,149621
3/31/2021,788784,724664,145269
12/31/2020,761955,684120,137703
9/30/2020,791596,752875,152408
6/30/2020,855489,790310,165280
3/31/2020,937004,802126,178004
12/31/2019,931737,781502,167668
9/30/2019,978754,825818,178029
6/30/2019,940199,802003,173688
3/31/2019,916952,771470,165383
12/31/2018,905473,788234,191093
9/30/2018,914708,821690,198296
6/30/2018,891094,805233,197069
3/31/2018,609840,350894,53987
12/31/2017,804992,728194,153209
9/30/2017,829714,765328,166313
6/30/2017,797710,760090,162716
3/31/2017,762304,755462,156860
12/31/2016,748280,715845,143993
9/30/2016,772872,767735,156755
6/30/2016,750902,737818,159522
3/31/2016,718108,751141,195314
12/31/2015,814721,751901,146198
9/30/2015,788980,772981,200914
6/30/2015,762089,745307,377707
3/31/2015,751606,693217,5729
12/31/2014,793149,653578,184198
9/30/2014,786929,699805,192756
6/30/2014,758363,669415,180346
3/31/2014,776787,615998,152209
12/31/2013,741886,573284,190255
9/30/2013,745501,553542,198711
6/30/2013,765449,543243,223974
3/31/2013,712144,522423,186381
12/31/2012,719724,496775,182653
9/30/2012,716958,520465,196928
6/30/2012,694550,535470,187065
3/31/2012,677690,534237,200356
12/31/2011,646673,513957,183953
9/30/2011,665700,548972,193315
6/30/2011,671949,529430,135810
3/31/2011,635124,533695,118767
12/31/2010,593697,514336,115931
9/30/2010,578948,500207,115100
6/30/2010,526312,475977,108569
3/31/2010,491085,435659,98984
12/31/2009,495684,366722,95666
9/30/2009,492923,377564,101139
6/30/2009,467919,346262,95797
3/31/2009,640341,508341,68768
12/31/2008,1156451,776077,83566
9/30/2008,1265762,818987,92905
6/30/2008,1155295,818877,10637
3/31/2008,1065361,791083,11565
12/31/2007,1013589,771096,10301
9/30/2007,982660,760830,10219
6/30/2007,861634,693761,11731
3/31/2007,800202,708274,10673
12/31/2006,798101,645315,9411
9/30/2006,812194,660645,9465
6/30/2006,759850,583886,9524
3/31/2006,752188,524959,9804
12/31/2005,690356,437141,8496
9/30/2005,753459,480486,9283
6/30/2005,727092,467349,8624
3/31/2005,652881,494931,7899
12/31/2004,619809,506576,12790
9/30/2004,611131,514149,6822
6/30/2004,569196,502032,6161
3/31/2004,554411,498158,5445
12/31/2003,544944,482102,8747
9/30/2003,546263,465908,9240
6/30/2003,610500,533798,10454
3/31/2003,534533,459724,8415
12/31/2002,630179,543440,10708
9/30/2002,580783,467042,8963
6/30/2002,642435,524475,9696
3/31/2002,565658,467133,7523
12/31/2001,841086,505640,7463
9/30/2001,855650,515175,7415
6/30/2001,927683,571868,9868
3/31/2001,787473,595872,10422
12/31/2000,561925,586659,8369
9/30/2000,551985,519212,9387
6/30/2000,547783,510473,13520
3/31/2000,735535,507806,14847
12/31/1999,716414,502526,7734
9/30/1999,754247,601908,8111
6/30/1999,709554,618653,22960
3/31/1999,841934,619894,21856
12/31/1998,633245,598873,29305
9/30/1998,709535,709074,30163
6/30/1998,644170,523338,19319
3/31/1998,676142,580470,18859
12/31/1997,708958,628604,20154
9/30/1997,769767,682604,24154
6/30/1997,734454,680688,31320
3/31/1997,712212,669800,29482
12/31/1996,718489,685119,28566
9/30/1996,726784,693117,32816
6/30/1996,710653,662153,32816
3/31/1996,706888,653490,30533
12/31/1995,674860,614931,30323
9/30/1995,680297,636636,30952
6/30/1995,712314,619852,30416
3/31/1995,637172,609441,27729
12/31/1994,612401,590285,27592
9/30/1994,581802,592556,29826
6/30/1994,554578,578462,30083
3/31/1994,543725,578737,27097
12/31/1993,546778,581938,28171
9/30/1993,562312,594328,29504
6/30/1993,492136,607362,29140
3/31/1993,494894,596388,23637
12/31/1992,496020,584485,22726
9/30/1992,500476,589671,25625
6/30/1992,499278,576912,30479
3/31/1992,495716,569735,30170
12/31/1991,473071,549095,28722
9/30/1991,472096,580795,31366
6/30/1991,461675,535341,29707
3/31/1991,469323,702032,22386
12/31/1990,416487,516471,23318
9/30/1990,397337,487928,64552
6/30/1990,372434,475480,79847
3/31/1990,33554,467480,63573
12/31/1989,313752,459119,57142
9/30/1989,311523,455153,61630
6/30/1989,316362,458854,56869
3/31/1989,317753,440197,55755
12/31/1988,313440,444156,63960
9/30/1988,317271,445854,57960
6/30/1988,316510,436665,52862
3/31/1988,320416,446379,55330
12/31/1987,328502,469382,54782
9/30/1987,321207,469293,110696
6/30/1987,305149,412353,7760
3/31/1987,251349,267640,6304
12/31/1986,277113,168385,4536
9/30/1986,271080,162887,4824
6/30/1986,301899,171871,4680
3/31/1986,321687,166865,4608
12/31/1985,286767,164376,4656
9/30/1985,320648,167920,5120
6/30/1985,172992,121856,6968
3/31/1985,142128,112896,6552
12/31/1984,135072,108360,6048
9/30/1984,124488,110880,6048
6/30/1984,129024,111104,6144
3/31/1984,123760,117520,6240
12/31/1983,148304,101680,5952
9/30/1983,166848,112101,10428
6/30/1983,146432,109056,7168
3/31/1983,145408,114176,7680
