OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100001,Sample-Routine,Water,Surface Water,2020-10-07,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,Rising stage,Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-120108235,,,Calcium,Dissolved,59.9,mg/l,,Preliminary,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-10-21,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100001,Sample-Routine,Water,Surface Water,2020-10-07,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,Rising stage,Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-120108236,,,Magnesium,Dissolved,19.3,mg/l,,Preliminary,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-10-21,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100001,Sample-Routine,Water,Surface Water,2020-10-07,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,Rising stage,Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-120108237,,,Sodium,Dissolved,50.2,mg/l,,Preliminary,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-10-21,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100001,Sample-Routine,Water,Surface Water,2020-10-07,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,Rising stage,Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-120108239,,,"Sodium, percent total cations",,32,%,,Preliminary,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100001,Sample-Routine,Water,Surface Water,2020-10-07,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,Rising stage,Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-120108240,,,Potassium,Dissolved,2.81,mg/l,,Preliminary,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-10-21,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000145,Sample-Routine,Water,Surface Water,2020-03-11,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118973258,,,Calcium,Dissolved,65.1,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-03-18,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000145,Sample-Routine,Water,Surface Water,2020-03-11,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118973259,,,Magnesium,Dissolved,21.1,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-03-18,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000145,Sample-Routine,Water,Surface Water,2020-03-11,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118973260,,,Sodium,Dissolved,59.1,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-03-18,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000145,Sample-Routine,Water,Surface Water,2020-03-11,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118973262,,,"Sodium, percent total cations",,34,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000145,Sample-Routine,Water,Surface Water,2020-03-11,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118973263,,,Potassium,Dissolved,3.22,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-03-18,,,,,,,,NWIS
