OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399842,,,"Temperature, water",,19.6,deg C,,Preliminary,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399843,,,"Temperature, air, deg C",,31.8,deg C,,Preliminary,,Actual,,,,,,,,,,,00020,,,,,,,,,THM04,USGS,"Temperature, air, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399844,,,Barometric pressure,,738,mm/Hg,,Preliminary,,Actual,,,,,,,,,,,00025,,,,,,,,,BAROM,USGS,"Atmospheric pressure, barometer",,USGS National Field Manual,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399846,,,Specific conductance,Total,5280,uS/cm @25C,,Preliminary,,Actual,,,25 deg C,,,,,,,,00095,,,,,,,,,SC001,USGS,Specific conductance sensor,,"USGS National Field Manual, Chapter A6.3",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399847,Detected Not Quantified,,"Acidity, (H+)",Total,,,,Preliminary,,Actual,,,,,,,,,,,00191,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Lower Quantitation Limit,0.001,mg/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399850,,,pH,Total,8.6,std units,,Preliminary,,Actual,,,,,,,,,,,00400,,,,,,,,,PROBE,USGS,"pH, field, electrometric",,"USGS National Field Manual, Chapter A6.4",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399851,,,pH,Total,8.6,std units,,Preliminary,,Actual,,,,,,,,,,,00403,,,,,,,,,EL006,USGS,"pH, lab, auto glass electrode",,"USGS TWRI 5-A1/1989, p 363","USGS-National Water Quality Lab, Denver, CO",2020-11-05,,,Lower Reporting Limit,0.1,std units,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399861,,,"Hardness, Ca, Mg",,973,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,,00900,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399862,,,"Hardness, non-carbonate",Dissolved,676,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,,00904,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399863,,,"Hardness, non-carbonate",Dissolved,749,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,,00905,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
