,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue
46,,2021-10-12,AK-CHIN_WQX-LCR-21,33.00017,-112.07,Magnesium,20.0
173,Surface Water,2020-09-30,AZDEQ_SW-1338,35.2202778,-114.5672222,Magnesium,26000.0
174,Surface Water,2020-11-18,AZDEQ_SW-1338,35.2202778,-114.5672222,Magnesium,24.0
111,Surface Water,2020-03-04,AZDEQ_SW-192,31.4986111,-110.8480556,Magnesium,21.0
105,Surface Water,2020-09-30,AZDEQ_SW-28,35.1983333,-114.5686111,Magnesium,25000.0
99,Surface Water,2020-11-18,AZDEQ_SW-28,35.1983333,-114.5686111,Magnesium,25.0
116,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Magnesium,3.5
123,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Magnesium,3.6
1,Surface Water,2020-11-03,USGS-332055112344901,,,Magnesium,114.0
11,Surface Water,2021-04-06,USGS-332055112344901,,,Magnesium,106.0
12,Surface Water,2021-04-06,USGS-332055112344901,,,Magnesium,112.0
72,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,Magnesium,24.4
