ActivityMediaSubdivisionName,,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode
Water,,2021-10-20,GLEC-VRWIC-A,34.601647,-112.432111,,,,pH,,5.87,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.16,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.17,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.23,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.55,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.56,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.56,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.58,None,
Water,,2021-03-24,TOHONOO'ODHAMNATION-201,32.275833,112.672222,Bottle,TOHONOO'ODHAMNATION,Bottle Sampling,pH,,6.6,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.61,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.67,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.77,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.77,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.79,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.8,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.81,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.81,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.82,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.83,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.02,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.04,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.05,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.05,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.06,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.07,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.27,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.3,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.3,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.3,None,
Water,,2021-08-12,TOHONOO'ODHAMNATION-201,32.275833,112.672222,Bottle,TOHONOO'ODHAMNATION,Bottle Sampling,pH,,7.3,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.31,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.31,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.31,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.33,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.33,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.34,None,
Water,Surface Water,2020-10-21,AZDEQ_SW-666,34.5952778,-112.4166389,Unknown,AZDEQ_SW,Unknown,pH,Total,7.35,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.35,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.36,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.38,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.4,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.4,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.42,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.42,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.42,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.44,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.45,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.45,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.46,None,
