,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue
1255,,2021-10-12,AK-CHIN_WQX-LCR-21,33.00017,-112.07,Magnesium,20.0
1160,,2021-10-12,AK-CHIN_WQX-LTP-20,33.0165,-112.0405,Magnesium,23.0
1162,Surface Water,2020-06-11,AZDEQ_SW-1005,34.9965278,-111.7496944,Magnesium,23.0
1373,Surface Water,2020-04-07,AZDEQ_SW-1048,34.6387122,-113.2072044,Magnesium,13.0
1258,Surface Water,2020-04-27,AZDEQ_SW-1048,34.6387122,-113.2072044,Magnesium,20.0
189,Surface Water,2020-04-07,AZDEQ_SW-1049,34.6333333,-113.2116661,Magnesium,120.0
1411,Surface Water,2020-04-07,AZDEQ_SW-1066,34.6327697,-113.2124647,Magnesium,11.0
274,Surface Water,2020-11-12,AZDEQ_SW-1066,34.6327697,-113.2124647,Magnesium,96.0
1412,Surface Water,2020-04-07,AZDEQ_SW-1071,34.6141431,-113.2206147,Magnesium,11.0
1413,Surface Water,2020-04-07,AZDEQ_SW-1071,34.6141431,-113.2206147,Magnesium,11.0
1323,Surface Water,2020-04-28,AZDEQ_SW-1071,34.6141431,-113.2206147,Magnesium,17.0
961,Surface Water,2021-12-07,AZDEQ_SW-1071,34.6141431,-113.2206147,Magnesium,33.0
1766,Surface Water,2020-01-09,AZDEQ_SW-1122,34.6294444,-113.1513889,Magnesium,3.5
1767,Surface Water,2020-01-09,AZDEQ_SW-1122,34.6294444,-113.1513889,Magnesium,3.5
2008,Surface Water,2020-08-18,AZDEQ_SW-1271,33.3263219,-110.9064242,Magnesium,
2009,Surface Water,2020-08-18,AZDEQ_SW-1271,33.3263219,-110.9064242,Magnesium,
1828,Surface Water,2020-08-16,AZDEQ_SW-1272,33.3259175,-110.9215853,Magnesium,2.9
1450,Surface Water,2020-08-18,AZDEQ_SW-1272,33.3259175,-110.9215853,Magnesium,9.4
1774,Surface Water,2020-08-18,AZDEQ_SW-1272,33.3259175,-110.9215853,Magnesium,3.4
1842,Surface Water,2020-08-18,AZDEQ_SW-1272,33.3259175,-110.9215853,Magnesium,2.7
438,Surface Water,2020-09-03,AZDEQ_SW-1276,33.4396083,-111.0640075,Magnesium,67.0
500,Surface Water,2020-09-03,AZDEQ_SW-1276,33.4396083,-111.0640075,Magnesium,63.0
1455,Surface Water,2020-03-03,AZDEQ_SW-1284,31.4400083,-109.9108297,Magnesium,9.1
1414,Surface Water,2020-03-12,AZDEQ_SW-1284,31.4400083,-109.9108297,Magnesium,11.0
1533,Surface Water,2020-03-18,AZDEQ_SW-1284,31.4400083,-109.9108297,Magnesium,6.5
1775,Surface Water,2020-02-11,AZDEQ_SW-1285,31.431919,-109.893785,Magnesium,3.4
1760,Surface Water,2020-03-03,AZDEQ_SW-1285,31.431919,-109.893785,Magnesium,3.6
