OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99001086,Sample-Routine,Water,Surface Water,1990-09-13,11:00:00,MST,,,,,15,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48752825,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,Historical Lower Reporting Limit,100,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99001088,Sample-Routine,Water,Surface Water,1990-09-13,11:30:00,MST,,,,,2,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48752954,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,Historical Lower Reporting Limit,10.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99001087,Sample-Routine,Water,Surface Water,1990-09-13,11:15:00,MST,,,,,7,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48752889,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,Historical Lower Reporting Limit,100,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101005,Sample-Routine,Water,Surface Water,1991-04-15,16:30:00,MST,,,,,1,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788027,,,Copper,Dissolved,2.0,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101007,Sample-Routine,Water,Surface Water,1991-08-19,13:45:00,MST,,,,,8,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,RR ROE=373,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788161,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,Historical Lower Reporting Limit,1.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201413,Sample-Routine,Water,Surface Water,1991-12-09,12:30:00,MST,,,,,30,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834149,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,Historical Lower Reporting Limit,10.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101008,Sample-Routine,Water,Surface Water,1991-08-19,14:15:00,MST,,,,,2,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788228,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,Historical Lower Reporting Limit,1.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201412,Sample-Routine,Water,Surface Water,1991-12-09,10:30:00,MST,,,,,2,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834082,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,Historical Lower Reporting Limit,10.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99200017,Sample-Routine,Water,Surface Water,1991-12-09,11:20:00,MST,,,,,12,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48790355,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,Historical Lower Reporting Limit,10.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99100057,Sample-Routine,Water,Surface Water,1991-04-15,16:05:00,MST,,,,,30,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48758134,,,Copper,Dissolved,3.0,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,,,,,,NWIS
