Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.
2021,20211,0200137,03,"STRIP, QUARY, OPEN PIT","257,440 ",0 ,677 
2021,20211,0200137,30,MILL OPERATION/PREPARATION PLANT,"173,377 ",0 ,342 
2021,20211,0200137,99,OFFICE WORKERS AT MINE SITE,"58,748 ",0 ,122 
2021,20212,0200137,03,"STRIP, QUARY, OPEN PIT","263,701 ",0 ,691 
2021,20212,0200137,30,MILL OPERATION/PREPARATION PLANT,"173,337 ",0 ,346 
2021,20212,0200137,99,OFFICE WORKERS AT MINE SITE,"59,596 ",0 ,124 
2021,20213,0200137,03,"STRIP, QUARY, OPEN PIT","281,461 ",0 ,699 
2021,20213,0200137,30,MILL OPERATION/PREPARATION PLANT,"181,915 ",0 ,344 
2021,20213,0200137,99,OFFICE WORKERS AT MINE SITE,"63,188 ",0 ,125 
2021,20214,0200137,03,"STRIP, QUARY, OPEN PIT","269,090 ",0 ,692 
2021,20214,0200137,30,MILL OPERATION/PREPARATION PLANT,"167,852 ",0 ,337 
2021,20214,0200137,99,OFFICE WORKERS AT MINE SITE,"59,583 ",0 ,124 
2020,20201,0200137,03,"STRIP, QUARY, OPEN PIT","296,713 ",0 ,626 
2020,20201,0200137,30,MILL OPERATION/PREPARATION PLANT,"184,107 ",0 ,306 
2020,20201,0200137,99,OFFICE WORKERS AT MINE SITE,"65,566 ",0 ,127 
2020,20202,0200137,03,"STRIP, QUARY, OPEN PIT","211,971 ",0 ,604 
2020,20202,0200137,30,MILL OPERATION/PREPARATION PLANT,"169,673 ",0 ,308 
2020,20202,0200137,99,OFFICE WORKERS AT MINE SITE,"52,042 ",0 ,124 
2020,20203,0200137,03,"STRIP, QUARY, OPEN PIT","260,844 ",0 ,594 
2020,20203,0200137,30,MILL OPERATION/PREPARATION PLANT,"179,040 ",0 ,378 
2020,20203,0200137,99,OFFICE WORKERS AT MINE SITE,"59,984 ",0 ,133 
2020,20204,0200137,03,"STRIP, QUARY, OPEN PIT","283,357 ",0 ,594 
