Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
20214,0200024,03,"STRIP, QUARY, OPEN PIT","861,339 ",0 ,"1,630 "
20214,0200024,30,MILL OPERATION/PREPARATION PLANT,"774,680 ",0 ,"1,710 "
20214,0200024,99,OFFICE WORKERS AT MINE SITE,"151,384 ",0 ,338 
20214,0200024,Total,,"1,787,403 ",0 ,"3,678 "
20213,0200024,03,"STRIP, QUARY, OPEN PIT","884,060 ",0 ,"1,597 "
20213,0200024,30,MILL OPERATION/PREPARATION PLANT,"794,960 ",0 ,"1,700 "
20213,0200024,99,OFFICE WORKERS AT MINE SITE,"157,896 ",0 ,329 
20213,0200024,Total,,"1,836,916 ",0 ,"3,626 "
20212,0200024,03,"STRIP, QUARY, OPEN PIT","861,811 ",0 ,"1,669 "
20212,0200024,30,MILL OPERATION/PREPARATION PLANT,"760,023 ",0 ,"1,543 "
20212,0200024,99,OFFICE WORKERS AT MINE SITE,"149,621 ",0 ,317 
20212,0200024,Total,,"1,771,455 ",0 ,"3,529 "
20211,0200024,03,"STRIP, QUARY, OPEN PIT","788,784 ",0 ,"1,590 "
20211,0200024,30,MILL OPERATION/PREPARATION PLANT,"724,664 ",0 ,"1,522 "
20211,0200024,99,OFFICE WORKERS AT MINE SITE,"145,269 ",0 ,311 
20211,0200024,Total,,"1,658,717 ",0 ,"3,423 "
20204,0200024,03,"STRIP, QUARY, OPEN PIT","761,955 ",0 ,"1,579 "
20204,0200024,30,MILL OPERATION/PREPARATION PLANT,"684,120 ",0 ,"1,515 "
20204,0200024,99,OFFICE WORKERS AT MINE SITE,"137,703 ",0 ,317 
20204,0200024,Total,,"1,583,778 ",0 ,"3,411 "
20203,0200024,03,"STRIP, QUARY, OPEN PIT","791,596 ",0 ,"1,605 "
20203,0200024,30,MILL OPERATION/PREPARATION PLANT,"752,875 ",0 ,"1,560 "
20203,0200024,99,OFFICE WORKERS AT MINE SITE,"152,408 ",0 ,376 
20203,0200024,Total,,"1,696,879 ",0 ,"3,541 "
20202,0200024,03,"STRIP, QUARY, OPEN PIT","855,489 ",0 ,"1,684 "
20202,0200024,30,MILL OPERATION/PREPARATION PLANT,"790,310 ",0 ,"1,585 "
20202,0200024,99,OFFICE WORKERS AT MINE SITE,"165,280 ",0 ,351 
20202,0200024,Total,,"1,811,079 ",0 ,"3,620 "
20201,0200024,03,"STRIP, QUARY, OPEN PIT","937,004 ",0 ,"1,782 "
20201,0200024,30,MILL OPERATION/PREPARATION PLANT,"802,126 ",0 ,"1,568 "
20201,0200024,99,OFFICE WORKERS AT MINE SITE,"178,004 ",0 ,353 
20201,0200024,Total,,"1,917,134 ",0 ,"3,703 "
20194,0200024,03,"STRIP, QUARY, OPEN PIT","931,737 ",0 ,"1,742 "
20194,0200024,30,MILL OPERATION/PREPARATION PLANT,"781,502 ",0 ,"1,557 "
20194,0200024,99,OFFICE WORKERS AT MINE SITE,"167,668 ",0 ,350 
20194,0200024,Total,,"1,880,907 ",0 ,"3,649 "
20193,0200024,03,"STRIP, QUARY, OPEN PIT","978,754 ",0 ,"1,796 "
20193,0200024,30,MILL OPERATION/PREPARATION PLANT,"825,818 ",0 ,"1,577 "
20193,0200024,99,OFFICE WORKERS AT MINE SITE,"178,029 ",0 ,346 
20193,0200024,Total,,"1,982,601 ",0 ,"3,719 "
20192,0200024,03,"STRIP, QUARY, OPEN PIT","940,199 ",0 ,"1,781 "
20192,0200024,30,MILL OPERATION/PREPARATION PLANT,"802,003 ",0 ,"1,541 "
20192,0200024,99,OFFICE WORKERS AT MINE SITE,"173,688 ",0 ,381 
20192,0200024,Total,,"1,915,890 ",0 ,"3,703 "
20191,0200024,03,"STRIP, QUARY, OPEN PIT","916,952 ",0 ,"1,734 "
20191,0200024,30,MILL OPERATION/PREPARATION PLANT,"771,470 ",0 ,"1,502 "
20191,0200024,99,OFFICE WORKERS AT MINE SITE,"165,383 ",0 ,332 
20191,0200024,Total,,"1,853,805 ",0 ,"3,568 "
20184,0200024,03,"STRIP, QUARY, OPEN PIT","905,473 ",0 ,"1,731 "
20184,0200024,30,MILL OPERATION/PREPARATION PLANT,"788,234 ",0 ,"1,539 "
20184,0200024,99,OFFICE WORKERS AT MINE SITE,"191,093 ",0 ,339 
20184,0200024,Total,,"1,884,800 ",0 ,"3,609 "
20183,0200024,03,"STRIP, QUARY, OPEN PIT","914,708 ",0 ,"1,691 "
20183,0200024,30,MILL OPERATION/PREPARATION PLANT,"821,690 ",0 ,"1,544 "
20183,0200024,99,OFFICE WORKERS AT MINE SITE,"198,296 ",0 ,337 
20183,0200024,Total,,"1,934,694 ",0 ,"3,572 "
20182,0200024,03,"STRIP, QUARY, OPEN PIT","891,094 ",0 ,"1,687 "
20182,0200024,30,MILL OPERATION/PREPARATION PLANT,"805,233 ",0 ,"1,538 "
20182,0200024,99,OFFICE WORKERS AT MINE SITE,"197,069 ",0 ,350 
20182,0200024,Total,,"1,893,396 ",0 ,"3,575 "
20181,0200024,03,"STRIP, QUARY, OPEN PIT","609,840 ",0 ,"1,782 "
20181,0200024,30,MILL OPERATION/PREPARATION PLANT,"350,894 ",0 ,"1,321 "
20181,0200024,99,OFFICE WORKERS AT MINE SITE,"53,987 ",0 ,431 
20181,0200024,Total,,"1,014,721 ",0 ,"3,534 "
20174,0200024,03,"STRIP, QUARY, OPEN PIT","804,992 ",0 ,"1,486 "
20174,0200024,30,MILL OPERATION/PREPARATION PLANT,"728,194 ",0 ,"1,400 "
20174,0200024,99,OFFICE WORKERS AT MINE SITE,"153,209 ",0 ,381 
20174,0200024,Total,,"1,686,395 ",0 ,"3,267 "
20173,0200024,03,"STRIP, QUARY, OPEN PIT","829,714 ",0 ,"1,481 "
20173,0200024,30,MILL OPERATION/PREPARATION PLANT,"765,328 ",0 ,"1,394 "
20173,0200024,99,OFFICE WORKERS AT MINE SITE,"166,313 ",0 ,323 
20173,0200024,Total,,"1,761,355 ",0 ,"3,198 "
20172,0200024,03,"STRIP, QUARY, OPEN PIT","797,710 ",0 ,"1,496 "
20172,0200024,30,MILL OPERATION/PREPARATION PLANT,"760,090 ",0 ,"1,419 "
20172,0200024,99,OFFICE WORKERS AT MINE SITE,"162,716 ",0 ,324 
20172,0200024,Total,,"1,720,516 ",0 ,"3,239 "
20171,0200024,03,"STRIP, QUARY, OPEN PIT","762,304 ",0 ,"1,417 "
20171,0200024,30,MILL OPERATION/PREPARATION PLANT,"755,462 ",0 ,"1,388 "
20171,0200024,99,OFFICE WORKERS AT MINE SITE,"156,860 ",0 ,307 
20171,0200024,Total,,"1,674,626 ",0 ,"3,112 "
20164,0200024,03,"STRIP, QUARY, OPEN PIT","748,280 ",0 ,"1,383 "
20164,0200024,30,MILL OPERATION/PREPARATION PLANT,"715,845 ",0 ,"1,379 "
20164,0200024,99,OFFICE WORKERS AT MINE SITE,"143,993 ",0 ,303 
20164,0200024,Total,,"1,608,118 ",0 ,"3,065 "
20163,0200024,03,"STRIP, QUARY, OPEN PIT","772,872 ",0 ,"1,385 "
20163,0200024,30,MILL OPERATION/PREPARATION PLANT,"767,735 ",0 ,"1,375 "
20163,0200024,99,OFFICE WORKERS AT MINE SITE,"156,755 ",0 ,387 
20163,0200024,Total,,"1,697,362 ",0 ,"3,147 "
20162,0200024,03,"STRIP, QUARY, OPEN PIT","750,902 ",0 ,"1,399 "
20162,0200024,30,MILL OPERATION/PREPARATION PLANT,"737,818 ",0 ,"1,382 "
20162,0200024,99,OFFICE WORKERS AT MINE SITE,"159,522 ",0 ,317 
20162,0200024,Total,,"1,648,242 ",0 ,"3,098 "
20161,0200024,03,"STRIP, QUARY, OPEN PIT","718,108 ",0 ,"1,290 "
20161,0200024,30,MILL OPERATION/PREPARATION PLANT,"751,141 ",0 ,"1,372 "
20161,0200024,99,OFFICE WORKERS AT MINE SITE,"195,314 ",0 ,398 
20161,0200024,Total,,"1,664,563 ",0 ,"3,060 "
20154,0200024,03,"STRIP, QUARY, OPEN PIT","814,721 ",0 ,"1,426 "
20154,0200024,30,MILL OPERATION/PREPARATION PLANT,"751,901 ",0 ,"1,410 "
20154,0200024,99,OFFICE WORKERS AT MINE SITE,"146,198 ",0 ,272 
20154,0200024,Total,,"1,712,820 ",0 ,"3,108 "
20153,0200024,03,"STRIP, QUARY, OPEN PIT","788,980 ",0 ,"1,380 "
20153,0200024,30,MILL OPERATION/PREPARATION PLANT,"772,981 ",0 ,"1,379 "
20153,0200024,99,OFFICE WORKERS AT MINE SITE,"200,914 ",0 ,403 
20153,0200024,Total,,"1,762,875 ",0 ,"3,162 "
20152,0200024,03,"STRIP, QUARY, OPEN PIT","762,089 ",0 ,"1,389 "
20152,0200024,30,MILL OPERATION/PREPARATION PLANT,"745,307 ",0 ,"1,348 "
20152,0200024,99,OFFICE WORKERS AT MINE SITE,"377,707 ",0 ,411 
20152,0200024,Total,,"1,885,103 ",0 ,"3,148 "
20151,0200024,03,"STRIP, QUARY, OPEN PIT","751,606 ",0 ,"1,427 "
20151,0200024,30,MILL OPERATION/PREPARATION PLANT,"693,217 ",0 ,"1,284 "
20151,0200024,99,OFFICE WORKERS AT MINE SITE,"5,729 ",0 ,330 
20151,0200024,Total,,"1,450,552 ",0 ,"3,041 "
20144,0200024,03,"STRIP, QUARY, OPEN PIT","793,149 ",0 ,"1,493 "
20144,0200024,30,MILL OPERATION/PREPARATION PLANT,"653,578 ",0 ,"1,201 "
20144,0200024,99,OFFICE WORKERS AT MINE SITE,"184,198 ",0 ,473 
20144,0200024,Total,,"1,630,925 ",0 ,"3,167 "
20143,0200024,03,"STRIP, QUARY, OPEN PIT","786,929 ",0 ,"1,410 "
20143,0200024,30,MILL OPERATION/PREPARATION PLANT,"699,805 ",0 ,"1,127 "
