Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2021,20211,0201049,03,"STRIP, QUARY, OPEN PIT","102,562 ",0 ,204 
2021,20211,0201049,30,MILL OPERATION/PREPARATION PLANT,"157,054 ",0 ,307 
2021,20211,0201049,99,OFFICE WORKERS AT MINE SITE,"31,416 ",0 ,65 
2021,20212,0201049,03,"STRIP, QUARY, OPEN PIT","104,215 ",0 ,208 
2021,20212,0201049,30,MILL OPERATION/PREPARATION PLANT,"162,229 ",0 ,311 
2021,20212,0201049,99,OFFICE WORKERS AT MINE SITE,"31,158 ",0 ,66 
2021,20213,0201049,03,"STRIP, QUARY, OPEN PIT","107,806 ",0 ,208 
2021,20213,0201049,30,MILL OPERATION/PREPARATION PLANT,"169,807 ",0 ,321 
2021,20213,0201049,99,OFFICE WORKERS AT MINE SITE,"32,811 ",0 ,66 
2021,20214,0201049,03,"STRIP, QUARY, OPEN PIT","110,516 ",0 ,215 
2021,20214,0201049,30,MILL OPERATION/PREPARATION PLANT,"166,900 ",0 ,318 
2021,20214,0201049,99,OFFICE WORKERS AT MINE SITE,"34,400 ",0 ,75 
2020,20201,0201049,03,"STRIP, QUARY, OPEN PIT","103,700 ",0 ,196 
2020,20201,0201049,30,MILL OPERATION/PREPARATION PLANT,"153,612 ",0 ,291 
2020,20201,0201049,99,OFFICE WORKERS AT MINE SITE,"31,855 ",0 ,66 
2020,20202,0201049,03,"STRIP, QUARY, OPEN PIT","97,486 ",0 ,196 
2020,20202,0201049,30,MILL OPERATION/PREPARATION PLANT,"151,960 ",0 ,301 
2020,20202,0201049,99,OFFICE WORKERS AT MINE SITE,"31,461 ",0 ,66 
2020,20203,0201049,03,"STRIP, QUARY, OPEN PIT","103,973 ",0 ,197 
2020,20203,0201049,30,MILL OPERATION/PREPARATION PLANT,"154,979 ",0 ,299 
2020,20203,0201049,99,OFFICE WORKERS AT MINE SITE,"31,509 ",0 ,65 
2020,20204,0201049,03,"STRIP, QUARY, OPEN PIT","103,182 ",0 ,198 
2020,20204,0201049,30,MILL OPERATION/PREPARATION PLANT,"153,880 ",0 ,293 
2020,20204,0201049,99,OFFICE WORKERS AT MINE SITE,"30,385 ",0 ,67 
2019,20191,0201049,03,"STRIP, QUARY, OPEN PIT","110,691 ",0 ,200 
2019,20191,0201049,30,MILL OPERATION/PREPARATION PLANT,"160,260 ",0 ,312 
2019,20191,0201049,99,OFFICE WORKERS AT MINE SITE,"34,721 ",0 ,75 
2019,20192,0201049,03,"STRIP, QUARY, OPEN PIT","113,983 ",0 ,196 
2019,20192,0201049,30,MILL OPERATION/PREPARATION PLANT,"162,815 ",0 ,304 
2019,20192,0201049,99,OFFICE WORKERS AT MINE SITE,"36,203 ",0 ,75 
2019,20193,0201049,03,"STRIP, QUARY, OPEN PIT","106,919 ",0 ,193 
2019,20193,0201049,30,MILL OPERATION/PREPARATION PLANT,"157,936 ",0 ,297 
2019,20193,0201049,99,OFFICE WORKERS AT MINE SITE,"34,870 ",0 ,74 
2019,20194,0201049,03,"STRIP, QUARY, OPEN PIT","104,842 ",0 ,193 
2019,20194,0201049,30,MILL OPERATION/PREPARATION PLANT,"158,631 ",0 ,299 
2019,20194,0201049,99,OFFICE WORKERS AT MINE SITE,"33,110 ",0 ,72 
2018,20181,0201049,03,"STRIP, QUARY, OPEN PIT","121,976 ",0 ,227 
2018,20181,0201049,30,MILL OPERATION/PREPARATION PLANT,"141,121 ",0 ,269 
2018,20181,0201049,99,OFFICE WORKERS AT MINE SITE,"27,826 ",0 ,58 
2018,20182,0201049,03,"STRIP, QUARY, OPEN PIT","133,030 ",0 ,247 
2018,20182,0201049,30,MILL OPERATION/PREPARATION PLANT,"133,438 ",0 ,257 
2018,20182,0201049,99,OFFICE WORKERS AT MINE SITE,"29,763 ",0 ,61 
2018,20183,0201049,03,"STRIP, QUARY, OPEN PIT","131,276 ",0 ,250 
2018,20183,0201049,30,MILL OPERATION/PREPARATION PLANT,"129,545 ",0 ,258 
2018,20183,0201049,99,OFFICE WORKERS AT MINE SITE,"27,991 ",0 ,60 
2018,20184,0201049,03,"STRIP, QUARY, OPEN PIT","114,725 ",0 ,203 
2018,20184,0201049,30,MILL OPERATION/PREPARATION PLANT,"162,666 ",0 ,306 
2018,20184,0201049,99,OFFICE WORKERS AT MINE SITE,"33,243 ",0 ,71 
2017,20171,0201049,03,"STRIP, QUARY, OPEN PIT","118,532 ",0 ,213 
2017,20171,0201049,30,MILL OPERATION/PREPARATION PLANT,"151,881 ",0 ,286 
2017,20171,0201049,99,OFFICE WORKERS AT MINE SITE,"28,360 ",0 ,58 
2017,20172,0201049,03,"STRIP, QUARY, OPEN PIT","121,359 ",0 ,220 
2017,20172,0201049,30,MILL OPERATION/PREPARATION PLANT,"145,033 ",0 ,273 
2017,20172,0201049,99,OFFICE WORKERS AT MINE SITE,"27,377 ",0 ,59 
2017,20173,0201049,03,"STRIP, QUARY, OPEN PIT","118,563 ",0 ,220 
2017,20173,0201049,30,MILL OPERATION/PREPARATION PLANT,"136,006 ",0 ,261 
2017,20173,0201049,99,OFFICE WORKERS AT MINE SITE,"28,180 ",0 ,61 
2017,20174,0201049,03,"STRIP, QUARY, OPEN PIT","142,329 ",0 ,225 
2017,20174,0201049,30,MILL OPERATION/PREPARATION PLANT,"160,885 ",0 ,266 
2017,20174,0201049,99,OFFICE WORKERS AT MINE SITE,"27,710 ",0 ,59 
2016,20161,0201049,03,"STRIP, QUARY, OPEN PIT","94,790 ",0 ,174 
2016,20161,0201049,30,MILL OPERATION/PREPARATION PLANT,"161,562 ",0 ,302 
2016,20161,0201049,99,OFFICE WORKERS AT MINE SITE,"32,769 ",0 ,68 
2016,20162,0201049,03,"STRIP, QUARY, OPEN PIT","113,102 ",0 ,201 
2016,20162,0201049,30,MILL OPERATION/PREPARATION PLANT,"158,714 ",0 ,293 
2016,20162,0201049,99,OFFICE WORKERS AT MINE SITE,"33,290 ",0 ,66 
2016,20163,0201049,03,"STRIP, QUARY, OPEN PIT","118,870 ",0 ,213 
2016,20163,0201049,30,MILL OPERATION/PREPARATION PLANT,"152,681 ",0 ,288 
2016,20163,0201049,99,OFFICE WORKERS AT MINE SITE,"30,273 ",0 ,63 
2016,20164,0201049,03,"STRIP, QUARY, OPEN PIT","118,110 ",0 ,211 
2016,20164,0201049,30,MILL OPERATION/PREPARATION PLANT,"146,512 ",0 ,280 
2016,20164,0201049,99,OFFICE WORKERS AT MINE SITE,"26,149 ",0 ,57 
2015,20151,0201049,03,"STRIP, QUARY, OPEN PIT","69,052 ",0 ,153 
2015,20151,0201049,30,MILL OPERATION/PREPARATION PLANT,"139,092 ",0 ,322 
2015,20151,0201049,99,OFFICE WORKERS AT MINE SITE,"48,473 ",0 ,112 
2015,20152,0201049,03,"STRIP, QUARY, OPEN PIT","79,161 ",0 ,151 
2015,20152,0201049,30,MILL OPERATION/PREPARATION PLANT,"151,447 ",0 ,309 
2015,20152,0201049,99,OFFICE WORKERS AT MINE SITE,"34,463 ",0 ,80 
2015,20153,0201049,03,"STRIP, QUARY, OPEN PIT","91,481 ",0 ,165 
2015,20153,0201049,30,MILL OPERATION/PREPARATION PLANT,"161,584 ",0 ,311 
2015,20153,0201049,99,OFFICE WORKERS AT MINE SITE,"32,418 ",0 ,77 
2015,20154,0201049,03,"STRIP, QUARY, OPEN PIT","91,895 ",0 ,164 
2015,20154,0201049,30,MILL OPERATION/PREPARATION PLANT,"159,991 ",0 ,299 
2015,20154,0201049,99,OFFICE WORKERS AT MINE SITE,"31,945 ",0 ,70 
