Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.
2021,20211,0200150,03,"STRIP, QUARY, OPEN PIT","109,664 ",0 ,214 
2021,20211,0200150,30,MILL OPERATION/PREPARATION PLANT,"75,303 ",0 ,171 
2021,20211,0200150,99,OFFICE WORKERS AT MINE SITE,"22,849 ",0 ,43 
2021,20212,0200150,03,"STRIP, QUARY, OPEN PIT","115,088 ",0 ,220 
2021,20212,0200150,30,MILL OPERATION/PREPARATION PLANT,"72,086 ",0 ,175 
2021,20212,0200150,99,OFFICE WORKERS AT MINE SITE,"24,734 ",0 ,44 
2021,20213,0200150,03,"STRIP, QUARY, OPEN PIT","114,812 ",0 ,239 
2021,20213,0200150,30,MILL OPERATION/PREPARATION PLANT,"91,850 ",0 ,192 
2021,20213,0200150,99,OFFICE WORKERS AT MINE SITE,"22,962 ",0 ,48 
2021,20214,0200150,03,"STRIP, QUARY, OPEN PIT","116,413 ",0 ,249 
2021,20214,0200150,30,MILL OPERATION/PREPARATION PLANT,"93,130 ",0 ,199 
2021,20214,0200150,99,OFFICE WORKERS AT MINE SITE,"23,283 ",0 ,50 
2020,20201,0200150,03,"STRIP, QUARY, OPEN PIT","84,402 ",0 ,92 
2020,20201,0200150,30,MILL OPERATION/PREPARATION PLANT,"86,506 ",0 ,93 
2020,20201,0200150,99,OFFICE WORKERS AT MINE SITE,"31,938 ",0 ,185 
2020,20202,0200150,03,"STRIP, QUARY, OPEN PIT","92,106 ",0 ,110 
2020,20202,0200150,30,MILL OPERATION/PREPARATION PLANT,"86,848 ",0 ,110 
2020,20202,0200150,99,OFFICE WORKERS AT MINE SITE,"25,156 ",0 ,178 
2020,20203,0200150,03,"STRIP, QUARY, OPEN PIT","103,885 ",0 ,130 
2020,20203,0200150,30,MILL OPERATION/PREPARATION PLANT,"85,115 ",0 ,130 
2020,20203,0200150,99,OFFICE WORKERS AT MINE SITE,"26,402 ",0 ,157 
2020,20204,0200150,03,"STRIP, QUARY, OPEN PIT","105,141 ",0 ,130 
2020,20204,0200150,30,MILL OPERATION/PREPARATION PLANT,"69,803 ",0 ,138 
2020,20204,0200150,99,OFFICE WORKERS AT MINE SITE,"22,297 ",0 ,157 
2019,20191,0200150,03,"STRIP, QUARY, OPEN PIT","156,860 ",0 ,380 
2019,20191,0200150,30,MILL OPERATION/PREPARATION PLANT,"112,908 ",0 ,210 
2019,20191,0200150,99,OFFICE WORKERS AT MINE SITE,"21,213 ",0 ,40 
2019,20192,0200150,03,"STRIP, QUARY, OPEN PIT","166,987 ",0 ,391 
2019,20192,0200150,30,MILL OPERATION/PREPARATION PLANT,"117,643 ",0 ,216 
2019,20192,0200150,99,OFFICE WORKERS AT MINE SITE,"20,970 ",0 ,40 
2019,20193,0200150,03,"STRIP, QUARY, OPEN PIT","189,154 ",0 ,340 
2019,20193,0200150,30,MILL OPERATION/PREPARATION PLANT,"118,811 ",0 ,210 
2019,20193,0200150,99,OFFICE WORKERS AT MINE SITE,"23,579 ",0 ,80 
2019,20194,0200150,03,"STRIP, QUARY, OPEN PIT","75,597 ",0 ,60 
2019,20194,0200150,30,MILL OPERATION/PREPARATION PLANT,"74,642 ",0 ,60 
2019,20194,0200150,99,OFFICE WORKERS AT MINE SITE,"30,347 ",0 ,190 
2018,20181,0200150,03,"STRIP, QUARY, OPEN PIT","157,406 ",0 ,420 
2018,20181,0200150,30,MILL OPERATION/PREPARATION PLANT,"107,151 ",0 ,280 
2018,20181,0200150,99,OFFICE WORKERS AT MINE SITE,"22,045 ",0 ,65 
2018,20182,0200150,03,"STRIP, QUARY, OPEN PIT","163,932 ",0 ,440 
2018,20182,0200150,30,MILL OPERATION/PREPARATION PLANT,"113,825 ",0 ,280 
2018,20182,0200150,99,OFFICE WORKERS AT MINE SITE,"22,377 ",0 ,65 
2018,20183,0200150,03,"STRIP, QUARY, OPEN PIT","166,872 ",0 ,445 
2018,20183,0200150,30,MILL OPERATION/PREPARATION PLANT,"118,053 ",0 ,270 
2018,20183,0200150,99,OFFICE WORKERS AT MINE SITE,"22,033 ",0 ,60 
2018,20184,0200150,03,"STRIP, QUARY, OPEN PIT","161,007 ",0 ,375 
2018,20184,0200150,30,MILL OPERATION/PREPARATION PLANT,"114,361 ",0 ,200 
2018,20184,0200150,99,OFFICE WORKERS AT MINE SITE,"20,501 ",0 ,50 
2017,20171,0200150,03,"STRIP, QUARY, OPEN PIT","138,555 ",0 ,380 
2017,20171,0200150,30,MILL OPERATION/PREPARATION PLANT,"111,647 ",0 ,280 
2017,20171,0200150,99,OFFICE WORKERS AT MINE SITE,"22,003 ",0 ,50 
2017,20172,0200150,03,"STRIP, QUARY, OPEN PIT","140,554 ",0 ,380 
2017,20172,0200150,30,MILL OPERATION/PREPARATION PLANT,"109,959 ",0 ,280 
2017,20172,0200150,99,OFFICE WORKERS AT MINE SITE,"22,047 ",0 ,50 
2017,20173,0200150,03,"STRIP, QUARY, OPEN PIT","151,451 ",0 ,400 
2017,20173,0200150,30,MILL OPERATION/PREPARATION PLANT,"113,448 ",0 ,280 
2017,20173,0200150,99,OFFICE WORKERS AT MINE SITE,"21,533 ",0 ,60 
2017,20174,0200150,03,"STRIP, QUARY, OPEN PIT","147,052 ",0 ,400 
2017,20174,0200150,30,MILL OPERATION/PREPARATION PLANT,"106,013 ",0 ,280 
2017,20174,0200150,99,OFFICE WORKERS AT MINE SITE,"19,639 ",0 ,60 
2016,20161,0200150,03,"STRIP, QUARY, OPEN PIT","146,329 ",0 ,398 
2016,20161,0200150,30,MILL OPERATION/PREPARATION PLANT,"124,043 ",0 ,217 
2016,20161,0200150,99,OFFICE WORKERS AT MINE SITE,"23,500 ",0 ,49 
2016,20162,0200150,03,"STRIP, QUARY, OPEN PIT","135,851 ",0 ,390 
2016,20162,0200150,30,MILL OPERATION/PREPARATION PLANT,"130,852 ",0 ,220 
2016,20162,0200150,99,OFFICE WORKERS AT MINE SITE,"18,803 ",0 ,46 
2016,20163,0200150,03,"STRIP, QUARY, OPEN PIT","155,187 ",0 ,400 
2016,20163,0200150,30,MILL OPERATION/PREPARATION PLANT,"122,228 ",0 ,212 
2016,20163,0200150,99,OFFICE WORKERS AT MINE SITE,"21,132 ",0 ,50 
2016,20164,0200150,03,"STRIP, QUARY, OPEN PIT","137,156 ",0 ,400 
2016,20164,0200150,30,MILL OPERATION/PREPARATION PLANT,"109,379 ",0 ,250 
2016,20164,0200150,99,OFFICE WORKERS AT MINE SITE,"19,852 ",0 ,50 
2015,20151,0200150,03,"STRIP, QUARY, OPEN PIT","257,032 ",0 ,482 
2015,20151,0200150,30,MILL OPERATION/PREPARATION PLANT,"114,223 ",0 ,231 
2015,20151,0200150,99,OFFICE WORKERS AT MINE SITE,"33,336 ",0 ,62 
2015,20152,0200150,03,"STRIP, QUARY, OPEN PIT","217,481 ",0 ,462 
2015,20152,0200150,30,MILL OPERATION/PREPARATION PLANT,"119,567 ",0 ,228 
2015,20152,0200150,99,OFFICE WORKERS AT MINE SITE,"30,336 ",0 ,60 
2015,20153,0200150,03,"STRIP, QUARY, OPEN PIT","197,814 ",0 ,366 
2015,20153,0200150,30,MILL OPERATION/PREPARATION PLANT,"121,964 ",0 ,245 
2015,20153,0200150,99,OFFICE WORKERS AT MINE SITE,"30,651 ",0 ,60 
2015,20154,0200150,03,"STRIP, QUARY, OPEN PIT","165,054 ",0 ,363 
2015,20154,0200150,30,MILL OPERATION/PREPARATION PLANT,"120,339 ",0 ,230 
2015,20154,0200150,99,OFFICE WORKERS AT MINE SITE,"27,122 ",0 ,58 
2014,20141,0200150,03,"STRIP, QUARY, OPEN PIT","268,457 ",0 ,544 
2014,20141,0200150,30,MILL OPERATION/PREPARATION PLANT,"107,465 ",0 ,220 
2014,20141,0200150,99,OFFICE WORKERS AT MINE SITE,"29,064 ",0 ,66 
2014,20142,0200150,03,"STRIP, QUARY, OPEN PIT","278,559 ",0 ,554 
2014,20142,0200150,30,MILL OPERATION/PREPARATION PLANT,"115,985 ",0 ,237 
2014,20142,0200150,99,OFFICE WORKERS AT MINE SITE,"29,480 ",0 ,68 
2014,20143,0200150,03,"STRIP, QUARY, OPEN PIT","284,707 ",0 ,553 
2014,20143,0200150,30,MILL OPERATION/PREPARATION PLANT,"58,831 ",0 ,222 
2014,20143,0200150,99,OFFICE WORKERS AT MINE SITE,"33,861 ",0 ,71 
2014,20144,0200150,03,"STRIP, QUARY, OPEN PIT","273,539 ",0 ,551 
