Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2021,20211,0203131,03,"STRIP, QUARY, OPEN PIT","325,647 ",0 ,662 
2021,20211,0203131,30,MILL OPERATION/PREPARATION PLANT,"217,441 ",0 ,447 
2021,20211,0203131,99,OFFICE WORKERS AT MINE SITE,"53,216 ",0 ,108 
2021,20212,0203131,03,"STRIP, QUARY, OPEN PIT","328,890 ",0 ,673 
2021,20212,0203131,30,MILL OPERATION/PREPARATION PLANT,"227,470 ",0 ,455 
2021,20212,0203131,99,OFFICE WORKERS AT MINE SITE,"57,469 ",0 ,109 
2021,20213,0203131,03,"STRIP, QUARY, OPEN PIT","345,914 ",0 ,687 
2021,20213,0203131,30,MILL OPERATION/PREPARATION PLANT,"232,061 ",0 ,456 
2021,20213,0203131,99,OFFICE WORKERS AT MINE SITE,"55,942 ",0 ,113 
2021,20214,0203131,03,"STRIP, QUARY, OPEN PIT","341,706 ",0 ,710 
2021,20214,0203131,30,MILL OPERATION/PREPARATION PLANT,"215,127 ",0 ,453 
2021,20214,0203131,99,OFFICE WORKERS AT MINE SITE,"48,520 ",0 ,105 
2020,20201,0203131,03,"STRIP, QUARY, OPEN PIT","352,843 ",0 ,689 
2020,20201,0203131,30,MILL OPERATION/PREPARATION PLANT,"223,929 ",0 ,437 
2020,20201,0203131,99,OFFICE WORKERS AT MINE SITE,"63,197 ",0 ,125 
2020,20202,0203131,03,"STRIP, QUARY, OPEN PIT","326,717 ",0 ,662 
2020,20202,0203131,30,MILL OPERATION/PREPARATION PLANT,"213,918 ",0 ,436 
2020,20202,0203131,99,OFFICE WORKERS AT MINE SITE,"56,545 ",0 ,121 
2020,20203,0203131,03,"STRIP, QUARY, OPEN PIT","321,884 ",0 ,655 
2020,20203,0203131,30,MILL OPERATION/PREPARATION PLANT,"209,984 ",0 ,427 
2020,20203,0203131,99,OFFICE WORKERS AT MINE SITE,"56,891 ",0 ,111 
2020,20204,0203131,03,"STRIP, QUARY, OPEN PIT","304,001 ",0 ,663 
2020,20204,0203131,30,MILL OPERATION/PREPARATION PLANT,"190,090 ",0 ,429 
2020,20204,0203131,99,OFFICE WORKERS AT MINE SITE,"51,506 ",0 ,107 
2019,20191,0203131,03,"STRIP, QUARY, OPEN PIT","274,958 ",0 ,521 
2019,20191,0203131,30,MILL OPERATION/PREPARATION PLANT,"185,900 ",0 ,399 
2019,20191,0203131,99,OFFICE WORKERS AT MINE SITE,"83,287 ",0 ,163 
2019,20192,0203131,03,"STRIP, QUARY, OPEN PIT","307,005 ",0 ,572 
2019,20192,0203131,30,MILL OPERATION/PREPARATION PLANT,"195,444 ",0 ,403 
2019,20192,0203131,99,OFFICE WORKERS AT MINE SITE,"69,643 ",0 ,134 
2019,20193,0203131,03,"STRIP, QUARY, OPEN PIT","342,526 ",0 ,638 
2019,20193,0203131,30,MILL OPERATION/PREPARATION PLANT,"210,013 ",0 ,394 
2019,20193,0203131,99,OFFICE WORKERS AT MINE SITE,"69,854 ",0 ,123 
2019,20194,0203131,03,"STRIP, QUARY, OPEN PIT","348,982 ",0 ,671 
2019,20194,0203131,30,MILL OPERATION/PREPARATION PLANT,"203,306 ",0 ,417 
2019,20194,0203131,99,OFFICE WORKERS AT MINE SITE,"63,016 ",0 ,122 
2018,20181,0203131,03,"STRIP, QUARY, OPEN PIT","180,012 ",0 ,360 
