Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2021,20211,0200144,03,"STRIP, QUARY, OPEN PIT","173,848 ",0 ,340 
2021,20211,0200144,30,MILL OPERATION/PREPARATION PLANT,"267,262 ",0 ,515 
2021,20211,0200144,99,OFFICE WORKERS AT MINE SITE,"107,920 ",0 ,238 
2021,20212,0200144,03,"STRIP, QUARY, OPEN PIT","172,536 ",0 ,354 
2021,20212,0200144,30,MILL OPERATION/PREPARATION PLANT,"276,116 ",0 ,552 
2021,20212,0200144,99,OFFICE WORKERS AT MINE SITE,"107,414 ",0 ,228 
2021,20213,0200144,03,"STRIP, QUARY, OPEN PIT","177,318 ",0 ,359 
2021,20213,0200144,30,MILL OPERATION/PREPARATION PLANT,"246,229 ",0 ,519 
2021,20213,0200144,99,OFFICE WORKERS AT MINE SITE,"159,059 ",0 ,264 
2021,20214,0200144,03,"STRIP, QUARY, OPEN PIT","164,451 ",0 ,359 
2021,20214,0200144,30,MILL OPERATION/PREPARATION PLANT,"229,742 ",0 ,482 
2021,20214,0200144,99,OFFICE WORKERS AT MINE SITE,"139,197 ",0 ,312 
2020,20201,0200144,03,"STRIP, QUARY, OPEN PIT","189,522 ",0 ,347 
2020,20201,0200144,30,MILL OPERATION/PREPARATION PLANT,"313,901 ",0 ,539 
2020,20201,0200144,99,OFFICE WORKERS AT MINE SITE,"98,777 ",0 ,256 
2020,20202,0200144,03,"STRIP, QUARY, OPEN PIT","163,669 ",0 ,339 
2020,20202,0200144,30,MILL OPERATION/PREPARATION PLANT,"295,534 ",0 ,529 
2020,20202,0200144,99,OFFICE WORKERS AT MINE SITE,"97,712 ",0 ,248 
2020,20203,0200144,03,"STRIP, QUARY, OPEN PIT","167,083 ",0 ,333 
2020,20203,0200144,30,MILL OPERATION/PREPARATION PLANT,"282,184 ",0 ,645 
2020,20203,0200144,99,OFFICE WORKERS AT MINE SITE,"110,882 ",0 ,136 
2020,20204,0200144,03,"STRIP, QUARY, OPEN PIT","163,476 ",0 ,335 
2020,20204,0200144,30,MILL OPERATION/PREPARATION PLANT,"254,508 ",0 ,527 
2020,20204,0200144,99,OFFICE WORKERS AT MINE SITE,"105,742 ",0 ,239 
2019,20191,0200144,03,"STRIP, QUARY, OPEN PIT","179,144 ",0 ,307 
2019,20191,0200144,30,MILL OPERATION/PREPARATION PLANT,"303,821 ",0 ,480 
2019,20191,0200144,99,OFFICE WORKERS AT MINE SITE,"106,448 ",0 ,287 
2019,20192,0200144,03,"STRIP, QUARY, OPEN PIT","180,161 ",0 ,344 
2019,20192,0200144,30,MILL OPERATION/PREPARATION PLANT,"299,228 ",0 ,529 
2019,20192,0200144,99,OFFICE WORKERS AT MINE SITE,"115,629 ",0 ,264 
2019,20193,0200144,03,"STRIP, QUARY, OPEN PIT","190,031 ",0 ,332 
2019,20193,0200144,30,MILL OPERATION/PREPARATION PLANT,"310,312 ",0 ,536 
